#,Category ID(Not Change),Product ID(Not Change),Product Code(Not Change),Product Category(Not Change),Product Name(Not Change),Quantity*,Unit price*,Total Price,Brand
117,2,44,PACID19120022,Package Refill,Refill 35[ SENA ],0,2500,,SENA
118,1,45,PACID19120023,Package Empty Cylinder,Empty Cylinder 45[ SENA ],0,2300,,SENA
119,2,46,PACID19120023,Package Refill,Refill 45[ SENA ],0,3170,,SENA
120,1,47,PACID19120024,Package Empty Cylinder,Empty Cylinder 12[ G-Gas ],0,500,,G-Gas
121,2,48,PACID19120024,Package Refill,Refill 12[ G-Gas ],0,900,,G-Gas
122,1,49,PACID19120025,Package Empty Cylinder,Empty Cylinder 35[ G-Gas ],0,1500,,G-Gas
123,2,50,PACID19120025,Package Refill,Refill 35[ G-Gas ],0,2500,,G-Gas
124,1,51,PACID19120026,Package Empty Cylinder,Empty Cylinder 45[ G-Gas ],0,2300,,G-Gas
125,2,52,PACID19120026,Package Refill,Refill 45[ G-Gas ],0,3170,,G-Gas
126,1,53,PACID19120027,Package Empty Cylinder,Empty Cylinder 12[ ORION ],0,500,,ORION
127,2,54,PACID19120027,Package Refill,Refill 12[ ORION ],0,900,,ORION
128,1,55,PACID19120028,Package Empty Cylinder,Empty Cylinder 35[ ORION ],0,1500,,ORION
129,2,56,PACID19120028,Package Refill,Refill 35[ ORION ],0,2500,,ORION
130,1,57,PACID19120029,Package Empty Cylinder,Empty Cylinder 45[ ORION ],0,2300,,ORION
131,2,58,PACID19120029,Package Refill,Refill 45[ ORION ],0,3170,,ORION
132,1,59,PACID19120030,Package Empty Cylinder,Empty Cylinder 12[ NAVANA ],0,500,,NAVANA
133,2,60,PACID19120030,Package Refill,Refill 12[ NAVANA ],0,900,,NAVANA
134,1,61,PACID19120031,Package Empty Cylinder,Empty Cylinder 35[ NAVANA ],0,1500,,NAVANA
135,2,62,PACID19120031,Package Refill,Refill 35[ NAVANA ],0,2500,,NAVANA
136,1,63,PACID19120032,Package Empty Cylinder,Empty Cylinder 45[ NAVANA ],0,2300,,NAVANA
137,2,64,PACID19120032,Package Refill,Refill 45[ NAVANA ],0,3170,,NAVANA
138,1,65,PACID19120033,Package Empty Cylinder,Empty Cylinder 12[ PROMITA ],0,500,,PROMITA
139,2,66,PACID19120033,Package Refill,Refill 12[ PROMITA ],0,900,,PROMITA
